,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
10304,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",31/12/2020,,,,,,,,,,,,,32,16,54,58,25,101,26,7,96
10305,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",30/12/2020,287,120,403,,,,,,,,,,42,19,68,90,21,128,38,8,154
10306,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",29/12/2020,,,,222,147,350,169,46,358,6,3,12,34,13,58,86,26,130,40,8,138
10307,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",28/12/2020,,,,182,125,271,115,47,177,6,4,8,32,14,104,64,22,103,46,8,164
10308,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",27/12/2020,,,,186,133,293,106,52,170,6,4,8,33,12,107,87,25,110,33,8,143
10309,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",26/12/2020,,,,183,116,273,99,47,149,6,5,8,32,10,93,60,26,100,39,7,133
10310,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",25/12/2020,,,,192,117,356,117,56,192,6,4,8,33,15,67,90,30,114,29,7,115
10311,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",24/12/2020,,,,231,125,408,129,60,209,6,4,8,39,13,109,88,33,116,32,8,113
10312,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",23/12/2020,,,,,,,136,60,222,5,1,7,38,15,95,86,38,116,36,8,137
10313,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",22/12/2020,,,,,,,99,51,179,4,2,6,33,11,82,80,36,112,34,7,141
10314,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",21/12/2020,,,,,,,73,38,129,5,3,7,33,23,62,53,24,82,46,10,146
10315,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",20/12/2020,197,126,335,142,106,224,72,42,123,5,4,7,31,12,89,57,21,90,54,13,130
10316,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",19/12/2020,241,106,318,148,82,209,89,37,131,7,3,22,37,11,97,48,17,88,37,6,117
10317,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",18/12/2020,240,112,354,158,106,247,97,44,151,6,4,9,31,15,58,59,25,102,23,5,96
10318,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",17/12/2020,212,114,332,148,123,185,89,49,148,8,5,10,39,17,89,54,23,96,28,6,119
10319,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",16/12/2020,244,156,318,144,110,168,85,46,120,9,6,11,22,9,56,56,22,86,35,5,106
10320,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",15/12/2020,280,178,350,159,116,244,83,40,130,9,5,14,17,8,29,58,23,96,30,5,117
10321,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",14/12/2020,277,179,338,162,127,230,86,44,121,9,6,11,21,9,49,72,23,101,28,4,118
10322,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",13/12/2020,297,266,315,165,145,185,77,50,109,9,4,12,27,9,93,47,34,62,33,3,114
10323,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",12/12/2020,256,173,337,156,119,199,69,45,123,11,8,14,23,11,43,60,29,94,22,7,81
10324,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",11/12/2020,,,,,,,,,,,,,,,,56,38,81,34,8,143
10325,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",10/12/2020,313,239,341,175,146,222,67,47,115,10,8,12,17,9,33,85,43,98,43,5,91
10326,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",09/12/2020,320,309,340,180,162,221,79,50,129,9,5,12,17,9,28,57,45,98,26,6,76
10327,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",08/12/2020,212,97,334,137,95,229,96,50,171,7,4,8,17,8,31,90,28,109,21,4,80
10328,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",07/12/2020,277,203,312,152,135,171,92,44,134,7,4,10,25,9,55,44,28,68,31,4,165
10329,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",06/12/2020,304,232,360,180,127,262,116,47,169,5,3,8,29,11,112,59,22,100,27,5,149
10330,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",05/12/2020,308,209,374,199,129,300,125,57,170,5,3,7,32,9,96,66,26,110,27,6,157
10331,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",04/12/2020,320,266,359,212,162,282,123,48,189,4,2,7,36,11,102,80,30,115,35,4,178
10332,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",03/12/2020,300,164,370,212,136,292,126,47,186,5,2,8,39,16,114,79,28,109,27,7,144
10333,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",02/12/2020,288,144,367,186,120,289,113,33,172,7,4,32,26,10,104,80,24,108,36,7,150
10334,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",01/12/2020,229,130,315,146,113,195,102,39,171,7,3,11,40,10,103,71,22,112,36,5,169
10335,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",30/11/2020,236,121,315,149,120,180,86,37,132,9,5,13,30,17,63,51,20,96,32,6,150
10336,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",29/11/2020,155,97,260,124,105,154,71,39,130,7,6,9,37,18,72,48,21,69,27,6,125
10337,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",28/11/2020,144,70,318,122,92,192,64,37,97,5,4,6,37,22,59,29,20,41,30,5,78
10338,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",27/11/2020,228,127,315,147,124,187,83,43,107,5,3,15,41,18,113,56,24,86,20,6,88
10339,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",26/11/2020,195,118,295,133,106,164,86,50,127,4,3,5,45,16,108,47,25,69,16,5,86
10340,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",25/11/2020,211,108,330,145,113,214,96,49,127,3,2,4,31,17,86,39,20,54,21,4,104
10341,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",24/11/2020,168,81,327,136,102,208,83,44,140,3,1,5,28,11,46,55,17,101,36,4,151
10342,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",23/11/2020,157,80,321,121,83,179,65,33,118,4,1,5,22,13,59,41,12,87,33,4,122
10343,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",22/11/2020,231,105,324,145,108,183,52,31,70,5,4,6,21,11,40,73,23,104,10,5,38
10344,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",21/11/2020,138,100,240,115,97,160,55,30,109,6,4,7,19,10,35,40,13,103,26,3,85
10345,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",20/11/2020,111,81,174,101,78,128,62,34,101,6,4,6,19,10,34,37,19,63,21,4,65
10346,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",19/11/2020,241,150,313,155,121,187,91,53,118,5,3,6,20,11,33,41,24,60,38,6,117
10347,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",18/11/2020,271,187,319,172,142,222,96,44,153,4,2,6,23,13,40,66,28,92,25,6,111
10348,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",17/11/2020,193,67,321,143,78,209,85,15,136,5,2,18,21,14,29,63,17,102,26,6,87
10349,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",16/11/2020,183,58,433,155,93,354,58,30,95,5,3,6,18,12,25,33,16,60,32,6,89
10350,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",15/11/2020,124,74,326,127,104,203,56,33,91,5,4,6,21,14,30,42,19,72,32,6,93
10351,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",14/11/2020,107,52,169,117,90,144,68,39,107,5,4,6,24,14,54,41,16,72,23,8,87
10352,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",13/11/2020,102,41,184,119,85,150,70,38,113,5,3,5,26,13,54,39,20,56,20,5,71
10353,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",12/11/2020,67,19,128,84,28,133,65,43,105,4,2,8,12,7,40,29,8,43,21,6,70
10354,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",11/11/2020,99,50,172,107,80,134,69,45,94,2,1,4,9,7,12,43,21,60,14,5,55
10355,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",10/11/2020,142,54,223,123,80,152,75,45,113,2,1,4,10,7,13,42,18,83,14,3,49
10356,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",09/11/2020,197,82,319,145,97,199,81,43,120,2,1,4,10,9,14,42,20,74,16,5,54
10357,West Bengal,Kolkata,site_5110,"Fort William, Kolkata - WBPCB",08/11/2020,253,177,328,174,135,222,80,48,110,2,1,4,11,8,13,56,28,70,22,5,63
