,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
10856,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",31/12/2020,234,119,308,165,131,193,84,65,118,4,3,6,26,11,55,36,6,65,33,7,94
10857,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",30/12/2020,342,264,410,289,178,411,129,80,183,6,3,9,26,10,49,158,44,162,26,4,131
10858,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",29/12/2020,305,180,371,228,120,336,118,69,172,6,4,9,17,3,35,100,17,142,30,4,124
10859,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",28/12/2020,279,160,362,205,137,319,104,62,161,5,3,8,21,8,50,101,30,145,34,5,130
10860,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",27/12/2020,283,165,364,192,138,330,100,61,155,5,3,8,19,4,58,105,34,145,26,5,112
10861,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",26/12/2020,276,150,383,200,120,379,106,65,160,5,3,8,20,7,67,95,35,132,27,5,118
10862,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",25/12/2020,262,113,392,210,106,404,119,66,185,6,3,11,20,11,34,125,38,176,23,4,92
10863,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",24/12/2020,296,158,414,226,128,419,112,69,177,5,3,10,21,9,50,112,43,149,22,4,94
10864,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",23/12/2020,354,312,408,304,184,448,113,73,165,6,4,9,26,9,52,111,43,140,24,5,103
10865,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",22/12/2020,316,254,370,241,176,342,101,69,145,5,4,7,21,7,57,95,35,127,25,5,104
10866,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",21/12/2020,279,164,444,208,143,459,78,57,130,4,4,6,17,7,42,86,27,135,35,7,112
10867,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",20/12/2020,179,103,307,151,118,222,69,58,95,4,4,6,18,5,43,63,24,86,43,11,111
10868,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",19/12/2020,186,96,297,154,124,197,85,61,127,5,4,7,29,7,63,66,22,107,37,5,96
10869,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",18/12/2020,206,75,335,173,119,290,99,62,160,5,4,8,24,8,46,78,35,123,23,5,87
10870,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",17/12/2020,190,117,270,150,119,192,96,68,153,5,3,8,26,11,56,89,19,123,26,5,94
10871,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",16/12/2020,191,112,252,148,117,197,101,67,142,5,3,7,14,5,30,79,26,114,30,4,90
10872,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",15/12/2020,,,,,,,,,,,,,,,,83,6,125,27,5,92
10873,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",14/12/2020,225,159,337,166,127,274,100,67,164,5,3,9,13,4,33,99,16,135,25,7,103
10874,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",13/12/2020,264,216,300,172,150,189,85,68,106,4,3,5,17,5,44,58,36,73,35,8,97
10875,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",12/12/2020,233,143,303,158,121,192,76,67,102,4,3,5,12,7,25,69,38,104,35,11,83
10876,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",11/12/2020,253,191,344,172,135,279,95,70,140,5,3,7,12,4,25,65,36,123,34,7,105
