,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
13984,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",31/12/2020,273,58,377,176,50,401,25,5,53,6,3,15,4,2,7,44,1,62,72,2,119
13985,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",30/12/2020,261,55,439,140,50,264,11,4,48,8,5,15,9,3,13,7,1,20,35,1,55
13986,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",29/12/2020,217,78,345,118,61,174,8,5,12,6,5,8,4,2,5,1,1,5,40,16,52
13987,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",28/12/2020,278,130,403,155,102,283,39,20,121,10,7,18,9,6,13,7,3,55,88,3,148
13988,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",27/12/2020,290,105,500,165,82,458,101,7,384,15,8,32,4,3,8,20,2,102,90,2,145
13989,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",26/12/2020,294,95,437,152,71,260,98,18,374,16,7,37,9,5,15,41,2,89,82,2,173
13990,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",25/12/2020,258,78,363,136,78,190,36,5,137,14,7,33,8,3,12,22,1,91,64,2,111
13991,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",24/12/2020,,,,,,,,,,,,,,,,16,2,41,56,8,120
13992,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",23/12/2020,,,,,,,,,,,,,,,,,,,,,
13993,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",22/12/2020,,,,,,,,,,,,,,,,,,,,,
13994,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",21/12/2020,209,60,500,122,88,260,10,4,42,8,4,17,9,5,12,21,8,62,35,1,50
13995,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",20/12/2020,237,88,407,137,100,179,112,17,369,13,6,31,8,4,11,38,16,93,42,2,81
13996,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",19/12/2020,168,63,296,126,98,159,21,5,130,15,9,38,4,3,6,41,21,67,42,2,83
13997,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",18/12/2020,218,68,396,115,94,143,33,4,105,8,6,12,4,2,8,41,24,51,54,3,77
13998,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",17/12/2020,256,36,482,111,95,126,9,4,38,8,6,11,9,1,16,43,25,54,46,13,81
13999,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",16/12/2020,113,33,274,108,89,131,36,6,102,8,6,12,8,4,13,38,28,101,48,3,83
14000,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",15/12/2020,136,8,330,64,15,106,12,5,36,8,6,13,4,2,5,37,19,85,18,4,29
14001,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",14/12/2020,157,36,384,86,64,105,13,5,28,9,7,14,4,2,9,40,25,59,10,1,20
14002,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",13/12/2020,118,34,258,83,45,116,9,5,15,8,6,10,4,2,6,37,22,48,11,5,22
14003,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",12/12/2020,156,57,427,95,71,127,16,5,55,10,6,18,4,2,7,47,23,76,10,1,39
14004,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",11/12/2020,221,82,424,124,101,173,73,16,285,19,10,39,4,2,5,34,26,100,37,1,46
14005,Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",10/12/2020,262,68,361,,,,47,5,291,16,8,28,4,2,6,50,21,105,30,1,68
