,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
1472,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",31/12/2020,59,47,70,68,48,127,14,9,23,4,1,7,25,4,48,21,9,46,21,16,24
1473,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",30/12/2020,116,66,238,101,67,143,33,10,89,9,1,62,21,4,69,39,11,43,23,20,27
1474,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",29/12/2020,140,66,325,108,65,183,37,9,115,13,1,106,32,14,73,38,5,44,24,21,27
1475,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",28/12/2020,140,68,289,108,58,172,32,10,93,4,1,15,21,7,82,42,6,45,26,21,38
1476,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",27/12/2020,113,51,272,95,52,161,37,8,103,8,3,18,28,3,62,33,4,42,23,21,27
1477,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",26/12/2020,124,43,320,106,44,227,50,11,131,7,1,22,25,4,54,34,3,39,24,20,30
1478,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",25/12/2020,134,43,333,139,52,360,53,16,210,7,1,22,18,3,64,34,2,37,24,20,30
1479,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",24/12/2020,101,47,227,103,58,188,48,11,136,6,2,13,19,2,59,37,2,42,25,20,32
1480,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",23/12/2020,98,40,280,93,44,185,43,10,138,7,2,27,26,3,71,33,25,46,21,19,25
1481,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",22/12/2020,70,57,100,84,48,161,15,6,35,4,2,8,23,6,56,,,,20,18,21
1482,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",21/12/2020,81,50,111,87,61,125,14,7,28,4,1,13,21,3,30,,,,20,18,22
1483,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",20/12/2020,83,70,107,86,58,171,13,8,27,3,1,8,34,7,85,55,16,98,20,19,23
1484,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",19/12/2020,62,43,103,62,43,86,17,7,58,4,1,6,25,3,48,46,7,96,21,18,23
1485,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",18/12/2020,47,36,64,50,38,66,12,7,37,3,1,9,19,10,38,26,11,39,21,19,23
1486,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",17/12/2020,39,26,50,50,34,70,15,7,35,3,1,8,23,5,31,16,10,45,21,19,23
1487,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",16/12/2020,70,35,237,87,45,284,25,7,150,4,1,12,32,19,61,24,9,33,22,19,25
1488,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",15/12/2020,78,36,216,91,44,208,52,11,236,6,3,12,36,11,107,15,4,82,21,18,25
1489,Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",14/12/2020,131,63,261,106,57,241,40,10,114,5,1,11,26,16,65,53,8,201,24,19,31
