,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
10120,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",31/12/2020,272,147,335,186,135,256,44,27,69,8,5,14,27,21,33,65,9,109,24,4,81
10121,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",30/12/2020,321,241,402,248,154,449,57,31,98,9,4,16,32,16,50,78,13,110,27,3,113
10122,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",29/12/2020,298,232,328,208,166,281,61,43,102,7,4,15,39,30,54,74,15,107,27,3,113
10123,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",28/12/2020,255,154,371,199,138,375,54,40,87,7,3,15,39,31,49,65,14,106,31,4,103
10124,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",27/12/2020,275,185,360,189,138,356,54,38,85,7,4,17,38,29,50,72,18,115,26,4,103
10125,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",26/12/2020,229,148,306,165,127,210,41,6,92,5,3,9,38,30,54,57,16,100,26,5,100
10126,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",25/12/2020,238,118,384,200,122,400,51,21,258,10,2,24,33,19,42,66,14,114,25,3,90
10127,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",24/12/2020,277,158,436,225,128,445,,,,,,,33,27,39,78,18,125,22,4,98
10128,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",23/12/2020,352,301,438,300,186,460,,,,,,,44,32,63,91,26,131,20,3,95
10129,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",22/12/2020,322,256,396,250,173,421,,,,,,,20,3,67,80,19,124,34,5,181
10130,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",21/12/2020,293,193,349,196,140,295,,,,,,,17,8,28,63,15,89,23,4,95
10131,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",20/12/2020,201,118,318,156,119,226,,,,,,,18,10,29,40,22,56,39,13,90
10132,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",19/12/2020,195,102,355,166,112,352,,,,,,,22,10,69,28,1,104,41,6,88
10133,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",18/12/2020,217,123,318,157,121,255,,,,,,,19,9,30,37,6,88,25,6,83
10134,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",17/12/2020,188,131,252,151,123,197,,,,,,,25,12,42,28,6,57,31,6,94
10135,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",16/12/2020,185,102,241,147,120,178,17,13,19,2,2,3,21,13,28,26,6,57,33,5,84
10136,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",15/12/2020,255,186,349,180,126,288,19,18,19,2,2,2,16,11,21,32,6,109,35,5,90
10137,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",14/12/2020,257,194,330,173,145,251,20,19,22,2,2,2,22,13,40,58,10,112,24,5,91
10138,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",13/12/2020,288,241,313,181,165,203,21,21,23,2,2,3,24,14,39,31,20,44,34,6,87
10139,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",12/12/2020,225,131,320,156,116,226,18,1,44,2,1,3,10,2,21,43,24,70,30,7,67
10140,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",11/12/2020,281,230,309,175,149,193,33,16,60,3,2,3,7,1,19,35,28,74,37,5,93
10141,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",10/12/2020,316,303,333,223,187,280,39,29,56,3,2,3,12,1,44,55,42,80,29,6,79
10142,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",09/12/2020,302,263,323,189,160,232,34,25,53,3,3,3,7,2,13,59,45,73,22,6,65
10143,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",08/12/2020,184,74,302,144,121,195,39,22,83,5,3,25,9,2,24,73,24,106,30,6,118
10144,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",07/12/2020,280,210,327,181,150,218,44,24,70,4,3,6,20,2,67,47,20,99,37,5,137
10145,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",06/12/2020,293,252,328,192,163,239,58,26,89,5,4,6,18,2,42,69,27,88,21,5,131
10146,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",05/12/2020,295,206,349,207,160,264,56,25,103,5,4,8,16,3,47,68,22,104,29,5,137
10147,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",04/12/2020,325,300,349,242,189,308,51,26,87,5,3,8,21,4,54,71,20,111,38,5,147
10148,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",03/12/2020,280,177,347,204,140,310,46,1,93,5,3,12,25,11,47,82,10,125,26,6,154
10149,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",02/12/2020,258,129,357,210,120,401,47,17,96,6,3,12,18,3,40,82,14,126,32,6,150
10150,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",01/12/2020,198,113,312,147,120,221,32,1,68,3,2,6,12,4,21,68,17,118,40,6,154
10151,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",30/11/2020,204,107,304,151,119,197,34,19,65,4,3,6,14,4,29,60,18,102,41,7,138
10152,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",29/11/2020,134,88,196,125,114,152,18,1,45,3,1,4,13,8,23,41,21,52,52,15,183
10153,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",28/11/2020,119,66,286,119,96,191,26,19,42,5,3,29,19,3,31,28,15,35,52,10,112
10154,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",27/11/2020,169,129,262,137,118,173,31,20,51,4,3,6,21,15,29,57,25,81,27,6,99
