,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
920,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",31/12/2020,14,3,28,28,1,76,15,8,25,8,8,9,24,21,26,65,40,109,6,5,6
921,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",30/12/2020,91,57,157,98,73,120,10,7,13,10,10,11,43,41,55,39,29,59,7,6,8
922,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",29/12/2020,107,80,129,105,70,142,9,6,12,11,10,12,46,40,58,41,20,64,7,6,9
923,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",28/12/2020,98,79,129,101,73,118,8,7,10,11,10,11,53,47,57,38,28,57,8,6,8
924,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",27/12/2020,70,60,89,94,46,130,8,6,10,11,10,13,43,39,53,40,22,61,7,5,8
925,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",26/12/2020,71,56,91,100,39,145,8,6,12,12,11,14,39,36,50,39,33,60,8,4,9
926,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",25/12/2020,109,53,306,103,54,158,10,6,16,13,12,14,37,32,50,42,25,64,8,7,10
927,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",24/12/2020,,,,,,,,,,,,,,,,,,,,,
928,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",23/12/2020,85,18,235,90,64,128,11,6,19,12,11,14,39,32,46,45,31,70,8,7,11
929,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",22/12/2020,89,69,100,87,63,116,16,8,25,12,11,13,35,30,41,43,31,61,9,8,10
930,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",21/12/2020,,,,,,,,,,,,,,,,,,,,,
931,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",20/12/2020,120,62,158,105,78,135,10,2,17,12,11,15,33,30,40,39,21,62,9,4,10
932,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",19/12/2020,64,48,86,82,68,102,11,7,24,12,11,13,34,27,38,41,33,57,9,8,11
933,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",18/12/2020,,,,,,,14,8,21,12,11,14,29,27,32,38,27,53,10,7,12
934,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",17/12/2020,,,,,,,,,,,,,,,,,,,,,
935,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",16/12/2020,66,32,191,91,62,118,13,5,25,13,12,15,32,30,42,38,23,56,10,7,12
936,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",15/12/2020,,,,,,,,,,,,,34,26,46,32,18,47,,,
937,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",14/12/2020,,,,,,,,,,,,,,,,,,,,,
938,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",13/12/2020,73,46,169,90,36,124,8,4,18,14,13,15,34,30,45,31,19,65,11,8,18
939,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",12/12/2020,80,47,167,102,43,149,7,5,9,14,13,16,38,30,45,39,25,81,10,8,13
940,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",11/12/2020,59,1,149,69,1,125,7,4,11,15,14,16,33,32,41,40,30,82,11,8,13
941,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",10/12/2020,,,,,,,,,,,,,,,,,,,,,
942,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",09/12/2020,,,,,,,,,,,,,,,,,,,,,
943,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",08/12/2020,,,,,,,,,,,,,37,32,50,34,7,51,,,
944,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",07/12/2020,,,,,,,,,,,,,,,,,,,,,
945,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",06/12/2020,,,,,,,,,,,,,,,,,,,,,
946,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",05/12/2020,,,,,,,,,,,,,,,,,,,,,
947,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",04/12/2020,22,2,56,55,21,98,7,2,13,15,13,16,33,26,36,29,1,49,12,10,21
948,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",03/12/2020,47,31,62,70,45,85,7,5,8,14,13,15,38,33,44,26,17,61,13,10,19
949,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",02/12/2020,39,19,68,63,21,101,8,6,11,13,13,14,44,35,48,39,31,158,11,8,18
950,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",01/12/2020,28,2,60,47,12,84,9,4,21,13,12,16,37,27,44,55,23,182,13,8,24
951,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",30/11/2020,21,2,78,41,10,89,6,5,9,13,12,15,29,27,39,43,31,101,17,10,25
952,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",29/11/2020,,,,,,,,,,,,,35,28,48,56,27,99,,,
953,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",28/11/2020,,,,,,,,,,,,,,,,,,,,,
954,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",27/11/2020,,,,,,,,,,,,,,,,,,,,,
955,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",26/11/2020,,,,,,,,,,,,,,,,,,,,,
956,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",25/11/2020,58,18,97,57,23,77,8,6,11,13,12,14,24,22,26,42,32,55,12,7,17
957,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",24/11/2020,55,12,110,,,,14,4,128,14,12,25,31,21,59,25,14,66,16,10,28
958,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",23/11/2020,53,17,86,63,20,103,7,4,13,13,12,15,23,17,34,49,36,80,11,9,19
959,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",22/11/2020,55,22,84,60,27,106,8,3,16,12,11,14,25,16,31,56,39,89,12,8,15
960,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",21/11/2020,59,24,119,61,22,99,12,4,36,15,10,41,19,14,25,47,34,95,17,9,50
961,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",20/11/2020,,,,38,21,50,7,5,11,11,11,13,17,15,18,55,43,79,11,9,15
962,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",19/11/2020,,,,42,5,85,7,4,21,11,10,12,17,15,23,53,27,100,10,4,14
963,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",18/11/2020,32,11,68,34,22,52,8,2,73,10,9,11,18,14,34,49,20,82,16,10,25
964,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",17/11/2020,31,5,139,40,5,107,9,5,16,9,8,10,36,16,39,42,33,93,16,7,27
965,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",16/11/2020,56,23,94,60,25,95,7,6,11,8,8,9,18,16,23,62,51,93,11,8,15
966,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",15/11/2020,74,2,341,68,35,148,11,7,16,8,7,9,19,16,20,65,43,101,12,9,16
967,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",14/11/2020,75,12,229,62,5,110,35,5,105,7,6,9,19,18,31,60,36,128,12,2,19
968,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",13/11/2020,41,2,74,39,4,70,39,1,152,4,1,6,26,12,38,66,28,117,9,1,24
969,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",12/11/2020,91,36,192,83,49,111,6,1,47,8,2,15,32,18,39,61,35,86,4,2,9
970,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",11/11/2020,81,48,131,86,47,106,5,2,13,10,9,10,22,19,25,44,38,68,4,3,5
971,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",10/11/2020,,,,,,,,,,,,,21,13,25,48,32,64,,,
972,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",09/11/2020,,,,,,,,,,1,1,2,20,10,21,41,41,84,1,1,6
973,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",08/11/2020,20,3,37,26,12,34,12,1,108,10,1,30,12,10,70,40,14,104,10,1,44
974,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",07/11/2020,32,1,81,44,30,59,3,1,6,13,13,14,19,16,29,40,22,71,7,5,9
975,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",06/11/2020,24,1,52,41,23,58,7,1,30,13,13,18,23,21,31,33,29,81,9,1,16
976,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",05/11/2020,,,,46,11,62,8,3,17,13,12,14,27,21,36,64,27,102,6,2,12
977,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",04/11/2020,208,16,390,,,,15,2,33,14,13,15,34,30,44,44,23,68,7,4,15
