,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
3680,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",31/12/2020,234,69,372,232,141,412,67,21,163,,,,23,6,52,21,13,32,,,
3681,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",30/12/2020,254,122,317,218,148,331,,,,,,,73,56,93,19,9,105,,,
3682,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",29/12/2020,177,39,313,206,137,326,,,,,,,74,48,100,93,69,113,,,
3683,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",28/12/2020,355,93,465,322,174,451,,,,,,,70,52,123,112,24,142,,,
3684,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",27/12/2020,307,111,426,249,118,435,,,,,,,96,52,127,64,28,125,,,
3685,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",26/12/2020,337,86,500,300,81,498,,,,,,,90,50,142,68,14,120,,,
3686,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",25/12/2020,393,196,500,360,149,500,,,,,,,115,63,157,43,12,111,,,
3687,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",24/12/2020,424,269,500,407,174,500,,,,,,,110,62,174,49,9,120,,,
3688,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",23/12/2020,,,,,,,,,,,,,163,56,163,39,10,110,,,
3689,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",22/12/2020,303,118,404,246,129,436,,,,,,,93,55,122,35,14,69,,,
3690,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",21/12/2020,274,94,336,177,125,241,,,,,,,69,50,92,30,13,51,,,
3691,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",20/12/2020,255,98,336,180,121,299,,,,,,,63,47,104,30,11,53,,,
3692,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",19/12/2020,196,66,342,151,93,362,,,,,,,73,42,116,22,10,43,,,
3693,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",18/12/2020,239,143,345,149,114,225,,,,,,,60,43,76,23,16,35,,,
3694,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",17/12/2020,231,80,327,159,114,318,,,,,,,58,43,73,20,11,30,,,
3695,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",16/12/2020,191,79,318,133,90,177,,,,,,,58,37,74,16,12,30,,,
3696,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",15/12/2020,147,42,317,104,65,148,,,,,,,43,31,51,17,12,27,,,
3697,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",14/12/2020,148,51,390,119,64,304,,,,,,,41,36,72,15,11,24,,,
3698,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",13/12/2020,336,167,445,266,143,423,,,,,,,90,47,104,11,9,23,,,
3699,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",12/12/2020,275,143,367,244,168,427,,,,,,,68,45,117,13,7,33,,,
3700,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",11/12/2020,244,74,337,237,120,406,,,,,,,86,43,118,11,7,29,,,
3701,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",10/12/2020,336,186,409,350,147,460,,,,,,,94,42,124,12,7,35,,,
3702,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",09/12/2020,346,187,417,338,144,500,,,,,,,104,51,146,13,7,54,,,
3703,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",08/12/2020,,,,342,198,441,,,,,,,97,62,122,13,7,36,,,
3704,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",07/12/2020,359,295,434,288,161,419,,,,,,,89,44,108,15,7,42,,,
3705,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",06/12/2020,361,325,413,325,237,418,,,,,,,86,57,105,16,7,43,,,
3706,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",05/12/2020,331,168,408,348,134,499,,,,,,,90,40,144,17,7,43,,,
3707,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",04/12/2020,318,151,383,299,132,500,,,,,,,104,42,148,14,7,41,,,
3708,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",03/12/2020,312,157,424,278,143,482,,,,,,,79,38,136,15,7,45,,,
3709,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",02/12/2020,351,289,423,334,180,500,,,,,,,107,51,140,14,7,52,,,
3710,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",01/12/2020,303,88,394,304,115,500,,,,,,,96,35,143,15,7,43,,,
3711,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",30/11/2020,234,93,398,225,125,464,,,,,,,93,33,140,16,7,50,,,
3712,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",29/11/2020,221,84,330,179,109,416,,,,,,,70,27,115,14,7,35,,,
3713,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",28/11/2020,112,58,215,119,76,179,,,,,,,51,18,78,13,7,29,,,
3714,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",27/11/2020,174,48,390,163,80,299,,,,,,,31,21,92,14,7,29,,,
3715,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",26/11/2020,365,271,429,361,234,488,,,,,,,86,39,112,12,7,47,,,
3716,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",25/11/2020,311,148,402,339,145,500,,,,,,,87,32,127,19,7,56,,,
3717,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",24/11/2020,283,44,356,245,102,500,,,,,,,99,32,147,16,7,50,,,
3718,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",23/11/2020,239,69,332,152,74,276,,,,,,,66,10,118,14,8,36,,,
3719,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",22/11/2020,225,47,354,131,60,189,,,,,,,37,11,110,15,8,74,,,
3720,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",21/11/2020,225,58,346,160,77,277,,,,,,,106,103,127,21,12,41,,,
3721,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",20/11/2020,260,91,348,179,91,286,,,,,,,114,104,128,21,13,45,,,
3722,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",19/11/2020,196,100,327,132,86,279,,,,,,,113,103,138,20,12,41,,,
3723,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",18/11/2020,145,33,359,97,27,181,,,,,,,104,102,114,21,11,30,,,
3724,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",17/11/2020,157,75,316,96,59,136,,,,,,,112,108,115,14,10,29,,,
3725,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",16/11/2020,350,176,500,227,124,459,,,,,,,111,109,120,25,13,54,,,
3726,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",15/11/2020,446,338,500,383,185,491,,,,,,,125,108,155,25,16,60,,,
3727,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",14/11/2020,308,102,441,254,93,440,,,,,,,164,98,171,20,12,46,,,
3728,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",13/11/2020,276,148,382,237,105,378,,,,,,,150,87,153,19,11,46,,,
3729,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",12/11/2020,260,56,341,215,93,500,,,,,,,107,21,139,18,10,51,,,
3730,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",11/11/2020,414,220,500,359,128,500,,,,,,,64,2,117,12,10,58,,,
3731,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",10/11/2020,497,472,500,460,408,500,,,,,,,78,5,118,24,18,39,,,
3732,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",09/11/2020,435,378,500,373,238,489,,,,,,,88,2,124,25,15,62,,,
3733,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",08/11/2020,415,273,500,353,141,447,,,,,,,94,5,115,23,13,60,,,
3734,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",07/11/2020,387,302,483,293,164,431,,,,,,,71,1,119,21,13,51,,,
3735,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",06/11/2020,405,313,500,331,158,455,,,,,,,80,1,128,21,13,48,,,
3736,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",05/11/2020,401,308,500,321,148,467,,,,,,,96,40,131,27,13,51,,,
3737,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",04/11/2020,254,37,424,203,49,407,,,,,,,82,6,133,19,10,43,,,
3738,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",03/11/2020,254,91,377,182,105,436,,,,,,,93,3,120,11,9,15,,,
3739,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",02/11/2020,311,84,498,241,77,458,,,,,,,50,2,99,11,9,18,,,
3740,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",01/11/2020,333,76,479,282,93,417,,,,,,,43,4,106,17,10,52,,,
3741,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",31/10/2020,328,66,453,255,85,421,,,,,,,31,4,121,17,10,47,,,
3742,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",30/10/2020,383,221,475,333,130,460,,,,,,,83,2,139,19,11,53,,,
3743,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",29/10/2020,344,287,427,253,147,477,,,,,,,94,11,143,24,11,77,,,
3744,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",28/10/2020,293,79,380,201,71,300,,,,,,,104,66,139,17,9,43,,,
