,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
3864,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",31/12/2020,94,19,335,,,,21,14,36,2,1,5,33,19,65,,,,7,5,8
3865,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",30/12/2020,,,,,,,,,,,,,,,,,,,,,
3866,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",29/12/2020,184,54,304,209,171,334,65,27,120,14,7,51,37,8,67,6,2,14,17,13,22
3867,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",28/12/2020,329,272,398,229,147,425,86,36,143,17,7,50,74,48,110,9,1,21,21,14,30
3868,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",27/12/2020,317,88,443,191,152,245,103,44,146,13,5,36,125,108,143,6,1,39,21,15,28
3869,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",26/12/2020,282,91,382,252,91,430,103,32,197,11,4,26,75,29,108,7,1,27,22,18,26
3870,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",25/12/2020,366,300,421,337,193,457,97,51,321,22,1,128,107,13,137,6,1,31,21,16,24
3871,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",24/12/2020,406,299,500,356,221,500,102,59,211,23,4,122,87,29,127,10,3,47,23,17,28
3872,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",23/12/2020,409,366,496,427,211,500,112,54,266,17,4,64,101,37,163,9,3,54,25,18,32
3873,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",22/12/2020,,,,,,,,,,,,,,,,,,,,,
3874,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",21/12/2020,289,97,356,268,184,400,112,53,163,12,7,23,95,19,114,8,3,27,20,17,26
3875,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",20/12/2020,247,26,351,251,142,418,115,39,192,11,7,24,87,19,115,7,1,22,22,17,32
3876,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",19/12/2020,220,79,325,230,160,376,112,38,173,12,7,21,68,10,110,6,1,21,15,11,20
3877,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",18/12/2020,241,146,339,211,150,363,83,42,180,10,7,14,62,17,99,5,1,14,12,8,14
3878,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",17/12/2020,227,89,337,232,143,421,89,46,165,15,9,33,62,8,101,7,1,17,11,3,14
3879,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",16/12/2020,229,84,338,215,132,299,82,42,143,23,10,47,49,8,72,7,2,18,11,6,13
3880,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",15/12/2020,163,62,304,159,126,200,56,28,99,18,8,46,31,6,48,9,2,19,12,10,13
3881,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",14/12/2020,201,41,340,196,99,416,67,45,105,10,6,16,43,8,72,10,1,32,15,11,19
3882,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",13/12/2020,,,,,,,,,,,,,,,,,,,,,
3883,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",12/12/2020,,,,,,,,,,,,,70,22,108,8,2,36,,,
3884,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",11/12/2020,236,86,333,227,155,429,101,53,166,33,1,115,84,25,106,8,1,52,24,18,30
3885,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",10/12/2020,329,137,469,334,179,500,140,54,275,49,3,121,74,7,160,8,1,79,29,15,45
3886,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",09/12/2020,338,241,401,332,174,500,123,67,231,40,4,118,159,12,159,13,2,71,29,13,42
3887,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",08/12/2020,374,311,420,378,204,500,122,76,160,33,6,116,109,29,129,16,5,72,30,16,41
3888,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",07/12/2020,349,242,413,363,184,487,119,88,210,15,2,29,82,35,118,22,4,55,29,23,38
3889,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",06/12/2020,362,309,402,393,230,459,112,68,157,16,7,33,88,29,122,13,5,45,27,21,32
