,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
5336,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",31/12/2020,69,44,83,103,76,143,23,17,34,17,11,23,42,35,48,12,4,18,9,7,11
5337,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",30/12/2020,312,97,409,255,171,402,42,26,65,12,8,16,64,35,90,38,10,92,10,8,12
5338,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",29/12/2020,233,55,405,252,177,418,37,21,58,13,9,31,54,22,80,34,11,79,8,7,9
5339,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",28/12/2020,412,78,500,378,185,500,64,23,126,13,8,18,64,30,151,64,11,97,14,9,16
5340,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",27/12/2020,,,,,,,,,,,,,,,,,,,,,
5341,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",26/12/2020,369,150,497,297,161,472,56,27,85,13,10,19,88,38,116,36,10,107,13,11,15
5342,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",25/12/2020,,,,,,,,,,,,,,,,,,,,,
5343,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",24/12/2020,,,,,,,,,,,,,,,,,,,,,
5344,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",23/12/2020,,,,,,,,,,,,,,,,,,,,,
5345,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",22/12/2020,363,183,500,287,141,500,62,30,120,16,9,28,90,40,126,46,10,138,11,9,14
5346,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",21/12/2020,354,207,436,298,160,453,60,31,102,18,10,26,74,40,109,42,10,126,10,9,11
5347,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",20/12/2020,,,,,,,,,,,,,,,,,,,,,
5348,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",19/12/2020,306,70,500,246,162,472,45,22,95,12,8,18,61,10,108,39,12,103,7,6,10
5349,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",18/12/2020,321,233,450,197,114,361,28,12,63,9,4,12,78,20,104,35,11,82,9,7,10
5350,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",17/12/2020,295,95,390,192,113,500,27,16,58,10,7,13,40,5,57,33,12,76,9,7,10
