,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
12512,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",31/12/2020,263,221,320,137,101,233,7,1,29,4,3,5,4,3,6,43,30,54,8,6,13
12513,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",30/12/2020,153,89,260,113,73,175,6,2,15,4,3,5,4,3,5,32,22,41,9,6,16
12514,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",29/12/2020,125,72,179,121,75,191,5,2,14,5,4,5,5,3,6,26,24,34,9,6,13
12515,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",28/12/2020,,,,,,,4,1,9,5,4,6,4,3,6,33,30,34,9,6,12
12516,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",27/12/2020,203,130,293,110,72,153,4,1,11,6,4,7,5,2,6,36,26,39,8,6,18
12517,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",26/12/2020,196,117,261,,,,4,1,9,6,5,8,4,3,5,32,26,33,19,17,22
12518,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",25/12/2020,140,80,217,93,50,129,5,1,13,6,4,9,4,3,6,30,19,31,19,16,28
12519,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",24/12/2020,113,67,225,80,42,125,5,2,10,5,4,7,4,3,5,28,17,34,18,16,22
12520,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",23/12/2020,80,65,107,66,39,91,4,1,9,6,4,8,4,3,6,24,16,29,18,16,21
12521,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",22/12/2020,101,69,159,73,62,96,3,1,7,6,5,9,4,3,6,25,19,27,18,16,20
12522,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",21/12/2020,151,106,204,88,73,104,3,1,7,6,5,8,4,3,6,17,14,25,19,17,36
12523,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",20/12/2020,155,90,211,88,58,112,3,1,8,7,4,10,4,3,6,24,22,27,17,16,23
12524,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",19/12/2020,188,87,271,96,65,118,3,1,8,5,4,7,5,3,6,28,24,35,18,16,27
12525,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",18/12/2020,230,132,322,105,72,135,4,1,10,4,3,6,5,3,6,35,30,36,18,16,20
12526,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",17/12/2020,252,170,327,116,84,164,4,1,12,5,3,6,5,3,7,38,30,42,18,16,21
