,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
4968,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",31/12/2020,,,,,,,,,,,,,30,25,35,67,39,106,,,
4969,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",30/12/2020,273,130,361,235,157,381,45,28,65,24,19,30,59,15,90,30,9,92,10,9,13
4970,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",29/12/2020,184,47,315,194,137,263,47,25,125,27,20,54,41,5,85,27,9,87,8,5,11
4971,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",28/12/2020,398,93,500,344,239,469,51,20,101,27,19,54,5,5,105,56,9,105,11,8,12
4972,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",27/12/2020,346,217,429,252,139,402,53,28,76,23,13,32,95,5,144,31,9,120,11,9,13
4973,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",26/12/2020,323,98,444,255,103,416,52,23,80,23,9,34,85,5,139,35,9,105,10,8,13
4974,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",25/12/2020,323,98,444,255,103,416,52,23,80,23,9,34,85,5,139,35,9,105,10,8,13
4975,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",24/12/2020,419,305,500,365,171,449,58,27,100,26,15,71,68,2,145,32,9,127,12,10,15
4976,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",23/12/2020,420,325,473,375,197,444,51,18,91,26,15,70,86,5,141,34,9,147,12,10,14
4977,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",22/12/2020,340,197,440,253,153,431,36,21,53,28,16,103,138,18,145,30,9,135,11,8,14
4978,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",21/12/2020,333,193,392,241,153,335,37,20,50,23,15,31,90,18,118,23,9,116,10,8,14
4979,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",20/12/2020,,,,,,,,,,,,,,,,,,,,,
4980,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",19/12/2020,269,78,416,197,107,410,50,29,72,19,11,26,86,5,128,29,9,96,9,5,12
4981,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",18/12/2020,,,,,,,,,,15,5,22,78,35,110,27,9,73,,,
4982,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",17/12/2020,267,88,349,160,103,251,58,31,113,13,6,18,49,20,104,28,9,80,12,8,21
