,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
5520,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",31/12/2020,,,,,,,,,,,,,,,,,,,,,
5521,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",30/12/2020,,,,,,,,,,,,,,,,,,,,,
5522,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",29/12/2020,,,,,,,,,,,,,,,,,,,,,
5523,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",28/12/2020,,,,,,,,,,,,,,,,,,,,,
5524,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",27/12/2020,226,67,411,263,132,498,45,23,86,14,1,40,51,5,124,22,4,60,25,16,35
5525,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",26/12/2020,,,,,,,,,,,,,,,,,,,,,
5526,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",25/12/2020,,,,,,,,,,,,,,,,,,,,,
5527,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",24/12/2020,326,201,411,363,190,500,58,25,167,21,2,54,114,5,144,25,5,34,33,17,46
5528,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",23/12/2020,326,173,416,326,179,500,50,24,120,18,1,63,105,5,145,20,4,69,28,17,43
5529,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",22/12/2020,213,70,402,263,133,500,56,32,96,16,4,45,101,5,139,23,8,53,24,15,38
5530,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",21/12/2020,252,154,328,,,,50,30,84,15,7,35,87,5,119,24,3,65,21,17,28
5531,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",20/12/2020,239,131,329,305,189,467,48,26,84,11,2,26,59,5,120,21,4,70,19,13,24
5532,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",19/12/2020,170,73,315,229,139,435,41,24,72,12,7,26,67,6,112,19,8,55,17,14,22
5533,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",18/12/2020,195,99,304,216,144,357,29,16,61,11,6,19,39,5,136,19,8,42,18,13,22
5534,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",17/12/2020,122,59,262,183,133,256,34,21,53,12,6,18,41,5,73,18,11,48,19,12,25
5535,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",16/12/2020,,,,,,,,,,,,,,,,,,,,,
5536,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",15/12/2020,84,58,135,120,90,146,21,14,28,10,6,18,24,5,116,32,18,43,18,15,20
5537,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",14/12/2020,138,78,324,171,107,475,27,17,39,9,1,15,40,13,131,23,15,40,19,14,23
5538,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",13/12/2020,187,61,328,361,200,491,37,24,55,11,2,17,85,27,127,12,7,39,28,22,35
5539,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",12/12/2020,,,,,,,,,,,,,,,,,,,,,
5540,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",11/12/2020,85,51,130,215,139,328,41,21,67,12,6,31,55,21,100,19,9,60,29,25,35
5541,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",10/12/2020,132,69,249,326,181,465,51,28,113,16,3,59,64,11,99,23,8,70,35,24,58
5542,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",09/12/2020,132,71,239,319,168,486,41,23,75,14,1,52,96,19,120,21,10,95,36,27,55
5543,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",08/12/2020,165,67,284,424,287,500,45,27,71,13,3,39,68,19,134,24,10,60,31,19,59
5544,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",07/12/2020,195,97,308,378,244,500,52,27,89,13,6,38,64,19,112,25,10,79,23,18,36
5545,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",06/12/2020,227,107,307,339,200,452,51,26,92,11,5,27,39,20,69,30,11,95,24,20,31
5546,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",05/12/2020,308,227,344,333,160,464,58,24,144,11,2,26,40,21,73,36,10,100,28,21,36
5547,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",04/12/2020,204,88,319,261,188,378,51,24,85,14,1,34,78,29,110,22,9,85,25,18,40
5548,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",03/12/2020,255,39,374,321,185,500,61,27,88,14,2,33,70,10,107,24,9,66,26,16,36
5549,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",02/12/2020,306,146,384,359,238,500,72,36,123,20,1,64,93,13,119,25,8,90,27,18,44
5550,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",01/12/2020,165,59,357,310,174,500,68,26,120,17,1,52,83,14,119,24,7,79,20,15,35
5551,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",30/11/2020,120,56,256,225,130,440,56,26,103,14,1,40,83,26,109,24,8,88,17,14,25
5552,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",29/11/2020,,,,,,,,,,,,,,,,,,,,,
5553,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",28/11/2020,,,,,,,,,,,,,,,,,,,,,
5554,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",27/11/2020,,,,,,,,,,,,,,,,,,,,,
5555,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",26/11/2020,,,,,,,,,,,,,,,,,,,,,
5556,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",25/11/2020,345,244,421,410,212,500,86,28,148,18,1,77,64,12,116,35,8,107,22,14,32
5557,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",24/11/2020,259,122,400,292,148,500,64,20,123,18,1,57,70,9,128,37,8,107,17,9,30
5558,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",23/11/2020,241,130,339,250,134,423,53,26,89,14,2,33,60,22,102,24,11,73,15,10,22
5559,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",22/11/2020,241,130,339,250,134,423,53,26,89,14,2,33,60,22,102,24,11,73,15,10,22
5560,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",21/11/2020,203,39,329,261,108,375,50,22,90,12,1,22,47,17,67,25,11,67,14,12,17
5561,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",20/11/2020,251,126,343,249,157,378,58,28,91,13,7,23,33,22,55,32,12,79,15,13,17
5562,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",19/11/2020,,,,,,,,,,,,,,,,,,,,,
5563,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",18/11/2020,110,49,231,145,92,205,43,21,72,12,7,19,52,18,101,27,12,59,16,14,18
5564,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",17/11/2020,,,,,,,,,,,,,,,,,,,,,
5565,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",16/11/2020,168,61,364,313,175,500,43,22,116,16,3,37,26,8,110,58,11,93,18,15,26
5566,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",15/11/2020,251,98,331,433,233,500,66,27,126,19,10,35,42,28,90,33,11,101,22,15,32
5567,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",14/11/2020,213,60,309,352,135,476,74,24,130,18,3,40,78,30,110,26,8,86,24,18,34
5568,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",13/11/2020,335,308,385,429,279,500,98,39,193,32,6,90,74,8,110,12,11,68,32,22,39
5569,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",12/11/2020,294,95,388,332,154,499,66,2,117,23,1,81,91,22,118,26,10,67,47,20,83
5570,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",11/11/2020,313,164,500,,,,66,36,98,17,1,68,90,33,124,31,10,95,51,25,83
5571,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",10/11/2020,257,150,315,494,424,500,74,57,98,14,1,33,98,48,126,19,11,61,58,33,115
5572,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",09/11/2020,,,,,,,,,,,,,,,,,,,,,
5573,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",08/11/2020,,,,,,,,,,,,,,,,,,,,,
