,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
368,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",31/12/2020,33,19,41,,,,14,14,14,10,10,11,35,34,36,3,1,33,,,
369,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",30/12/2020,,,,,,,,,,,,,35,34,36,4,1,32,,,
370,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",29/12/2020,73,42,147,,,,14,14,14,10,10,11,35,34,36,4,1,26,,,
371,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",28/12/2020,83,65,104,,,,14,14,14,10,10,11,35,34,35,4,1,26,,,
372,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",27/12/2020,64,49,82,,,,14,14,14,10,10,11,35,34,35,3,1,28,,,
373,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",26/12/2020,,,,,,,,,,,,,35,35,35,4,1,16,,,
374,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",25/12/2020,76,57,98,,,,14,14,14,10,10,11,35,34,36,6,1,28,,,
375,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",24/12/2020,84,53,182,,,,,,,10,10,11,35,34,36,3,1,26,,,
376,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",23/12/2020,72,45,91,,,,,,,10,10,10,35,34,36,4,1,29,,,
377,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",22/12/2020,78,39,186,,,,31,18,45,10,10,11,35,34,35,3,1,26,,,
378,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",21/12/2020,80,56,119,,,,28,15,44,10,10,11,35,35,36,4,1,29,,,
379,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",20/12/2020,70,55,88,,,,25,12,37,10,10,11,35,34,36,3,1,28,,,
380,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",19/12/2020,62,40,87,,,,23,16,44,10,10,11,35,34,36,3,1,29,,,
381,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",18/12/2020,51,41,72,,,,23,9,53,10,10,11,35,34,36,3,1,34,,,
382,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",17/12/2020,82,58,196,,,,18,9,26,10,10,11,35,34,64,3,1,21,,,
