,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
6624,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",31/12/2020,57,28,85,70,42,108,6,4,10,7,5,17,22,18,25,26,4,35,11,7,15
6625,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",30/12/2020,288,160,353,221,162,290,36,17,62,6,4,18,60,30,90,12,3,48,17,14,20
6626,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",29/12/2020,209,67,341,206,150,311,27,8,56,8,1,35,54,15,80,12,3,48,13,9,15
6627,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",28/12/2020,411,127,500,323,222,464,42,19,76,14,1,29,44,20,108,29,3,46,19,13,25
6628,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",27/12/2020,395,297,500,298,164,500,52,22,77,6,4,8,96,30,143,11,3,43,18,14,25
6629,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",26/12/2020,351,107,477,273,127,426,49,14,77,6,2,8,80,17,122,9,3,44,18,13,28
6630,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",25/12/2020,450,315,500,388,189,500,57,26,122,19,4,132,101,28,150,14,4,49,23,17,32
6631,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",24/12/2020,461,339,500,423,250,500,68,37,111,12,5,40,162,40,189,6,4,43,23,18,32
6632,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",23/12/2020,481,404,500,447,374,500,68,40,128,10,4,44,158,60,191,7,4,29,23,18,28
6633,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",22/12/2020,389,240,500,305,155,500,56,28,99,12,4,41,113,33,169,7,3,46,17,12,21
6634,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",21/12/2020,,,,,,,,,,,,,89,33,119,9,3,47,,,
6635,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",20/12/2020,302,110,426,204,119,399,49,25,83,7,4,11,81,25,120,12,3,48,15,12,18
6636,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",19/12/2020,286,93,420,188,115,390,43,16,75,6,2,11,82,20,117,11,3,48,12,9,17
6637,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",18/12/2020,311,223,403,174,124,294,30,15,61,3,1,6,70,22,104,13,3,39,13,10,19
6638,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",17/12/2020,282,78,359,155,109,199,32,12,57,8,2,40,53,15,93,15,3,48,14,10,18
6639,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",16/12/2020,300,207,340,164,112,298,28,17,51,16,3,47,49,25,72,14,4,47,11,8,14
6640,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",15/12/2020,228,93,371,135,83,234,18,11,27,16,1,101,30,15,40,26,5,48,11,9,17
6641,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",14/12/2020,247,77,429,156,85,350,23,14,43,5,2,29,28,20,87,21,6,42,14,11,22
6642,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",13/12/2020,411,349,463,293,199,411,35,27,47,5,2,12,90,45,107,9,3,26,20,16,25
6643,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",12/12/2020,351,307,416,254,167,402,59,32,95,13,4,33,88,42,116,11,3,41,22,15,28
6644,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",11/12/2020,310,203,372,214,148,350,50,32,74,10,2,30,86,33,122,12,1,46,21,15,28
6645,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",10/12/2020,379,187,500,335,139,500,69,35,130,8,3,14,110,30,184,5,1,28,19,14,26
