,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
5152,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",31/12/2020,311,143,382,177,135,259,84,67,111,24,12,33,89,70,102,10,1,28,8,6,9
5153,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",30/12/2020,269,12,343,188,123,261,85,68,108,23,18,30,83,60,100,15,2,34,7,5,8
5154,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",29/12/2020,234,42,330,179,119,218,78,43,105,22,14,30,88,62,104,13,1,33,6,4,6
5155,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",28/12/2020,371,163,500,259,177,447,111,69,188,21,13,30,64,25,111,18,1,41,7,6,8
5156,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",27/12/2020,344,53,460,230,114,411,95,65,122,23,13,39,91,55,128,13,1,43,7,6,8
5157,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",26/12/2020,324,32,431,219,101,346,96,70,124,23,18,33,91,18,118,15,1,42,7,6,8
5158,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",25/12/2020,412,157,500,337,137,445,106,65,179,27,16,48,92,38,137,11,1,42,8,7,10
5159,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",24/12/2020,424,257,500,337,147,464,108,66,158,27,18,41,95,20,139,12,1,54,8,7,10
5160,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",23/12/2020,419,247,500,340,141,441,108,68,145,23,6,47,99,45,135,13,1,48,8,6,9
5161,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",22/12/2020,335,72,481,221,115,417,102,75,133,16,9,30,150,18,150,10,1,42,7,5,9
5162,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",21/12/2020,331,68,410,209,129,340,97,77,124,13,8,20,36,25,72,13,1,39,6,5,7
5163,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",20/12/2020,,,,,,,,,,,,,,,,,,,,,
5164,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",19/12/2020,271,3,405,161,57,319,102,78,154,11,7,18,71,35,112,12,2,34,5,4,6
5165,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",18/12/2020,290,82,385,156,86,271,88,71,124,11,5,15,45,25,55,9,2,21,5,5,6
5166,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",17/12/2020,269,42,349,144,47,201,97,80,120,9,5,17,54,35,78,6,2,14,6,5,7
5167,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",16/12/2020,271,117,336,143,89,213,81,45,118,21,13,37,53,40,90,4,2,7,5,4,7
