,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
4784,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",31/12/2020,,,,,,,,,,,,,94,75,105,18,12,33,,,
4785,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",30/12/2020,209,81,314,197,135,317,10,8,15,,,,85,63,106,18,10,36,,,
4786,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",29/12/2020,,,,,,,,,,,,,84,54,107,15,9,32,,,
4787,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",28/12/2020,397,326,500,326,225,489,10,6,27,,,,77,71,132,41,18,48,,,
4788,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",27/12/2020,311,169,409,217,142,355,10,7,16,,,,97,62,128,22,12,50,,,
4789,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",26/12/2020,300,100,421,235,123,386,10,7,16,,,,96,58,143,23,10,43,,,
4790,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",25/12/2020,370,211,453,305,141,420,6,4,16,,,,110,68,144,21,11,56,,,
4791,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",24/12/2020,389,263,448,337,180,452,8,4,18,,,,113,68,144,23,9,60,,,
4792,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",23/12/2020,,,,,,,,,,,,,108,62,133,10,8,18,,,
4793,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",22/12/2020,297,149,396,215,147,389,4,3,8,,,,102,58,136,8,8,20,,,
4794,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",21/12/2020,283,140,365,202,146,288,9,6,15,,,,84,54,107,8,7,9,,,
4795,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",20/12/2020,264,88,367,191,134,265,8,3,15,,,,86,52,109,8,7,9,,,
4796,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",19/12/2020,205,61,344,168,103,395,8,3,12,,,,84,23,107,12,6,36,,,
4797,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",18/12/2020,229,124,342,156,117,270,6,5,10,,,,70,59,91,12,6,27,,,
4798,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",17/12/2020,174,80,307,135,103,196,7,5,11,,,,70,62,87,11,6,28,,,
4799,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",16/12/2020,186,88,337,138,89,201,7,5,11,,,,72,64,87,11,6,31,,,
4800,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",15/12/2020,106,64,185,102,58,129,6,5,10,,,,62,58,74,12,6,28,,,
4801,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",14/12/2020,167,45,367,135,58,281,6,5,9,,,,67,64,109,11,6,26,,,
4802,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",13/12/2020,349,282,429,259,175,404,8,5,12,,,,100,91,108,7,6,21,,,
4803,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",12/12/2020,271,183,366,203,129,322,11,4,23,,,,103,101,119,9,6,24,,,
4804,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",11/12/2020,232,129,325,164,130,224,9,5,15,,,,93,66,119,11,6,40,,,
4805,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",10/12/2020,290,148,400,210,142,392,10,4,26,,,,94,79,129,13,6,50,,,
4806,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",09/12/2020,312,187,387,219,156,298,10,5,20,,,,100,92,119,15,7,57,,,
4807,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",08/12/2020,,,,,,,,,,,,,91,76,114,12,6,43,,,
4808,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",07/12/2020,345,277,392,259,178,333,10,7,15,,,,89,78,107,15,6,55,,,
4809,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",06/12/2020,362,324,416,284,226,404,10,7,15,,,,88,76,113,14,6,47,,,
4810,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",05/12/2020,351,310,414,236,147,500,10,3,19,,,,94,78,124,16,6,71,,,
4811,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",04/12/2020,305,208,349,154,127,212,10,7,17,,,,100,96,107,16,7,54,,,
4812,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",03/12/2020,21,7,54,28,6,61,34,21,52,,,,26,17,35,13,2,20,,,
4813,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",02/12/2020,335,269,383,181,120,241,11,6,20,,,,103,98,108,17,7,61,,,
4814,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",01/12/2020,283,121,330,146,121,182,9,6,17,,,,92,88,109,17,7,63,,,
4815,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",30/11/2020,203,91,313,110,80,141,10,6,16,,,,70,42,109,16,7,58,,,
4816,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",29/11/2020,210,100,329,111,69,193,9,6,14,,,,57,40,71,15,7,43,,,
4817,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",28/11/2020,100,61,245,75,53,118,8,5,14,,,,52,36,61,13,7,38,,,
4818,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",27/11/2020,170,31,332,97,56,147,9,5,13,,,,45,37,56,13,7,35,,,
4819,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",26/11/2020,368,321,407,201,156,256,12,9,18,,,,58,50,100,11,7,43,,,
4820,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",25/11/2020,320,232,371,162,129,186,12,6,23,,,,65,38,100,15,8,60,,,
4821,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",24/11/2020,269,122,329,132,101,158,12,7,22,,,,67,36,89,15,7,46,,,
4822,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",23/11/2020,209,44,330,117,66,151,9,5,13,,,,49,33,73,16,7,46,,,
4823,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",22/11/2020,193,68,334,101,54,168,9,4,14,,,,46,32,57,16,7,41,,,
4824,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",21/11/2020,202,91,315,142,99,189,10,5,15,,,,44,33,60,17,7,47,,,
4825,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",20/11/2020,204,77,314,133,102,172,10,5,17,,,,48,31,61,16,7,52,,,
4826,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",19/11/2020,173,118,264,123,104,148,9,5,15,,,,45,30,53,16,7,47,,,
4827,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",18/11/2020,120,57,230,99,49,136,8,5,14,,,,39,29,46,14,7,38,,,
4828,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",17/11/2020,144,78,316,101,70,161,7,5,11,,,,37,28,44,11,7,29,,,
4829,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",16/11/2020,393,262,500,309,143,500,9,6,13,,,,35,34,82,23,8,49,,,
4830,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",15/11/2020,420,371,496,330,246,429,12,6,19,,,,57,38,74,14,6,58,,,
4831,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",14/11/2020,277,159,378,178,116,335,13,7,22,,,,53,30,76,14,7,60,,,
4832,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",13/11/2020,270,168,500,169,135,272,11,5,22,,,,60,28,91,14,7,59,,,
4833,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",12/11/2020,204,82,323,162,120,259,10,4,20,,,,53,30,98,13,7,48,,,
4834,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",11/11/2020,354,91,500,345,142,500,12,7,32,,,,61,34,96,12,7,70,,,
4835,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",10/11/2020,,,,,,,,,,,,,73,49,100,19,7,62,,,
4836,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",09/11/2020,358,312,480,299,221,491,12,8,24,,,,55,32,78,15,6,66,,,
4837,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",08/11/2020,336,164,477,304,158,480,11,6,18,,,,54,29,82,15,6,61,,,
4838,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",07/11/2020,334,257,390,288,174,408,13,7,23,,,,51,29,94,14,7,50,,,
4839,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",06/11/2020,357,310,419,308,202,406,14,8,22,,,,63,29,92,14,7,57,,,
4840,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",05/11/2020,357,193,500,338,171,500,15,11,21,,,,60,41,85,14,7,49,,,
4841,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",04/11/2020,182,48,311,164,92,270,12,7,24,,,,51,26,88,14,7,43,,,
4842,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",03/11/2020,223,88,344,186,126,295,12,9,16,,,,55,28,83,20,12,62,,,
4843,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",02/11/2020,284,74,477,288,116,441,12,6,17,,,,39,26,52,22,12,61,,,
4844,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",01/11/2020,291,88,449,284,124,439,13,7,19,,,,37,26,46,22,13,55,,,
